receive_ts;exchange_ts;price;quantity;side
1716810829301234;1716810829299000;68479.50000000;0.02800000;ask
1716810829402345;1716810829400000;68481.30000000;0.03500000;bid
1716810829503456;1716810829501000;68480.70000000;0.01900000;ask
1716810829604567;1716810829602000;68478.90000000;0.04200000;bid
1716810829705678;1716810829703000;68482.40000000;0.02600000;ask
1716810829806789;1716810829804000;68481.60000000;0.03300000;bid
1716810829907890;1716810829905000;68479.20000000;0.01700000;ask
1716810830008901;1716810830006000;68483.10000000;0.03800000;bid
1716810830109012;1716810830107000;68480.40000000;0.02200000;ask
1716810830210123;1716810830208000;68478.60000000;0.04400000;bid
1716810830311234;1716810830309000;68482.70000000;0.02900000;ask
1716810830412345;1716810830410000;68481.20000000;0.03600000;bid
1716810830513456;1716810830511000;68479.80000000;0.01800000;ask
1716810830614567;1716810830612000;68483.50000000;0.04100000;bid
1716810830715678;1716810830713000;68480.10000000;0.02400000;ask
1716810830816789;1716810830814000;68478.40000000;0.04700000;bid
1716810830917890;1716810830915000;68482.20000000;0.02700000;ask
1716810831018901;1716810831016000;68481.80000000;0.03400000;bid
1716810831119012;1716810831117000;68479.50000000;0.01900000;ask
1716810831220123;1716810831218000;68483.30000000;0.03900000;bid
1716810831321234;1716810831319000;68480.60000000;0.02300000;ask
1716810831422345;1716810831420000;68478.70000000;0.04500000;bid
1716810831523456;1716810831521000;68482.50000000;0.02800000;ask
1716810831624567;1716810831622000;68481.10000000;0.03200000;bid
1716810831725678;1716810831723000;68479.90000000;0.01600000;ask
1716810831826789;1716810831824000;68483.60000000;0.03700000;bid
1716810831927890;1716810831925000;68480.20000000;0.02100000;ask
1716810832028901;1716810832026000;68478.50000000;0.04300000;bid
1716810832129012;1716810832127000;68482.30000000;0.02600000;ask
1716810832230123;1716810832228000;68481.50000000;0.03500000;bid
1716810832331234;1716810832329000;68479.70000000;0.01800000;ask
1716810832432345;1716810832430000;68483.20000000;0.04100000;bid
1716810832533456;1716810832531000;68480.80000000;0.02400000;ask
1716810832634567;1716810832632000;68478.80000000;0.04600000;bid
1716810832735678;1716810832733000;68482.60000000;0.02900000;ask
1716810832836789;1716810832834000;68481.30000000;0.03300000;bid
1716810832937890;1716810832935000;68479.40000000;0.01700000;ask
1716810833038901;1716810833036000;68483.40000000;0.03800000;bid
1716810833139012;1716810833137000;68480.50000000;0.02200000;ask
1716810833240123;1716810833238000;68478.30000000;0.04400000;bid
1716810833341234;1716810833339000;68482.10000000;0.02700000;ask
1716810833442345;1716810833440000;68481.70000000;0.03600000;bid
1716810833543456;1716810833541000;68479.60000000;0.01900000;ask
1716810833644567;1716810833642000;68483.70000000;0.04200000;bid
1716810833745678;1716810833743000;68480.30000000;0.02500000;ask
1716810833846789;1716810833844000;68478.60000000;0.04700000;bid
1716810833947890;1716810833945000;68482.40000000;0.02800000;ask
1716810834048901;1716810834046000;68481.20000000;0.03400000;bid
1716810834149012;1716810834147000;68479.80000000;0.01600000;ask
1716810834250123;1716810834248000;68483.10000000;0.03900000;bid
1716810834351234;1716810834349000;68480.70000000;0.02300000;ask
1716810834452345;1716810834450000;68478.90000000;0.04500000;bid
1716810834553456;1716810834551000;68482.50000000;0.02600000;ask
1716810834654567;1716810834652000;68481.40000000;0.03200000;bid
1716810834755678;1716810834753000;68479.30000000;0.01800000;ask
1716810834856789;1716810834854000;68483.50000000;0.04100000;bid
1716810834957890;1716810834955000;68480.20000000;0.02400000;ask
1716810835058901;1716810835056000;68478.70000000;0.04300000;bid
1716810835159012;1716810835157000;68482.30000000;0.02900000;ask
1716810835260123;1716810835258000;68481.60000000;0.03500000;bid
1716810835361234;1716810835359000;68479.50000000;0.01700000;ask
1716810835462345;1716810835460000;68483.60000000;0.03800000;bid
1716810835563456;1716810835561000;68480.80000000;0.02200000;ask
1716810835664567;1716810835662000;68478.40000000;0.04600000;bid
1716810835765678;1716810835763000;68482.60000000;0.02700000;ask
1716810835866789;1716810835864000;68481.10000000;0.03300000;bid
1716810835967890;1716810835965000;68479.70000000;0.01900000;ask
1716810836068901;1716810836066000;68483.20000000;0.04200000;bid
1716810836169012;1716810836167000;68480.40000000;0.02500000;ask
1716810836270123;1716810836268000;68478.80000000;0.04400000;bid
1716810836371234;1716810836369000;68482.20000000;0.02800000;ask
1716810836472345;1716810836470000;68481.50000000;0.03600000;bid
1716810836573456;1716810836571000;68479.90000000;0.01600000;ask
1716810836674567;1716810836672000;68483.30000000;0.03900000;bid
1716810836775678;1716810836773000;68480.10000000;0.02300000;ask
1716810836876789;1716810836874000;68478.50000000;0.04700000;bid
1716810836977890;1716810836975000;68482.40000000;0.02600000;ask
1716810837078901;1716810837076000;68481.80000000;0.03400000;bid
1716810837179012;1716810837177000;68479.60000000;0.01800000;ask
1716810837280123;1716810837278000;68483.40000000;0.04100000;bid
1716810837381234;1716810837379000;68480.60000000;0.02400000;ask
1716810837482345;1716810837480000;68478.70000000;0.04500000;bid
1716810837583456;1716810837581000;68482.10000000;0.02900000;ask
1716810837684567;1716810837682000;68481.30000000;0.03200000;bid
1716810837785678;1716810837783000;68479.40000000;0.01700000;ask
1716810837886789;1716810837884000;68483.70000000;0.03800000;bid
1716810837987890;1716810837985000;68480.30000000;0.02200000;ask
1716810838088901;1716810838086000;68478.60000000;0.04300000;bid
1716810838189012;1716810838187000;68482.50000000;0.02700000;ask
1716810838290123;1716810838288000;68481.70000000;0.03500000;bid
1716810838391234;1716810838389000;68479.80000000;0.01900000;ask
1716810838492345;1716810838490000;68483.10000000;0.04200000;bid
