receive_ts;exchange_ts;price;quantity;side
1716810849501234;1716810849499000;68480.20000000;0.01600000;ask
1716810849602345;1716810849600000;68482.60000000;0.03300000;bid
1716810849703456;1716810849701000;68479.40000000;0.02100000;ask
1716810849804567;1716810849802000;68481.30000000;0.03800000;bid
1716810849905678;1716810849903000;68480.70000000;0.02400000;ask
1716810850006789;1716810850004000;68478.90000000;0.04500000;bid
1716810850107890;1716810850105000;68483.10000000;0.02900000;ask
1716810850208901;1716810850206000;68481.80000000;0.03600000;bid
1716810850309012;1716810850307000;68479.60000000;0.01800000;ask
1716810850410123;1716810850408000;68482.40000000;0.04100000;bid
1716810850511234;1716810850509000;68480.50000000;0.02500000;ask
1716810850612345;1716810850610000;68478.70000000;0.04700000;bid
1716810850713456;1716810850711000;68483.30000000;0.02700000;ask
1716810850814567;1716810850812000;68481.20000000;0.03400000;bid
1716810850915678;1716810850913000;68479.80000000;0.01900000;ask
1716810851016789;1716810851014000;68482.10000000;0.04200000;bid
1716810851117890;1716810851115000;68480.40000000;0.02300000;ask
1716810851218901;1716810851216000;68478.50000000;0.04400000;bid
1716810851319012;1716810851317000;68483.60000000;0.02800000;ask
1716810851420123;1716810851418000;68481.50000000;0.03500000;bid
1716810851521234;1716810851519000;68479.30000000;0.01700000;ask
1716810851622345;1716810851620000;68482.70000000;0.03900000;bid
1716810851723456;1716810851721000;68480.80000000;0.02200000;ask
1716810851824567;1716810851822000;68478.60000000;0.04600000;bid
1716810851925678;1716810851923000;68483.20000000;0.02600000;ask
1716810852026789;1716810852024000;68481.40000000;0.03200000;bid
1716810852127890;1716810852125000;68479.70000000;0.01800000;ask
1716810852228901;1716810852226000;68482.30000000;0.04100000;bid
1716810852329012;1716810852327000;68480.10000000;0.02400000;ask
1716810852430123;1716810852428000;68478.80000000;0.04300000;bid
1716810852531234;1716810852529000;68483.50000000;0.02900000;ask
1716810852632345;1716810852630000;68481.70000000;0.03600000;bid
1716810852733456;1716810852731000;68479.50000000;0.01600000;ask
1716810852834567;1716810852832000;68482.50000000;0.03700000;bid
1716810852935678;1716810852933000;68480.60000000;0.02100000;ask
1716810853036789;1716810853034000;68478.40000000;0.04500000;bid
1716810853137890;1716810853135000;68483.40000000;0.02700000;ask
1716810853238901;1716810853236000;68481.10000000;0.03300000;bid
1716810853339012;1716810853337000;68479.90000000;0.01900000;ask
1716810853440123;1716810853438000;68482.20000000;0.04200000;bid
1716810853541234;1716810853539000;68480.30000000;0.02500000;ask
1716810853642345;1716810853640000;68478.70000000;0.04600000;bid
1716810853743456;1716810853741000;68483.10000000;0.02800000;ask
1716810853844567;1716810853842000;68481.60000000;0.03500000;bid
1716810853945678;1716810853943000;68479.60000000;0.01700000;ask
1716810854046789;1716810854044000;68482.60000000;0.03800000;bid
1716810854147890;1716810854145000;68480.50000000;0.02200000;ask
1716810854248901;1716810854246000;68478.30000000;0.04400000;bid
1716810854349012;1716810854347000;68483.60000000;0.02600000;ask
1716810854450123;1716810854448000;68481.20000000;0.03200000;bid
1716810854551234;1716810854549000;68479.80000000;0.01800000;ask
1716810854652345;1716810854650000;68482.40000000;0.04100000;bid
1716810854753456;1716810854751000;68480.70000000;0.02400000;ask
1716810854854567;1716810854852000;68478.60000000;0.04700000;bid
1716810854955678;1716810854953000;68483.20000000;0.02900000;ask
1716810855056789;1716810855054000;68481.50000000;0.03600000;bid
1716810855157890;1716810855155000;68479.40000000;0.01600000;ask
1716810855258901;1716810855256000;68482.10000000;0.03900000;bid
1716810855359012;1716810855357000;68480.20000000;0.02300000;ask
1716810855460123;1716810855458000;68478.80000000;0.04500000;bid
1716810855561234;1716810855559000;68483.30000000;0.02700000;ask
1716810855662345;1716810855660000;68481.80000000;0.03400000;bid
1716810855763456;1716810855761000;68479.70000000;0.01900000;ask
1716810855864567;1716810855862000;68482.50000000;0.04200000;bid
1716810855965678;1716810855963000;68480.40000000;0.02500000;ask
1716810856066789;1716810856064000;68478.50000000;0.04300000;bid
1716810856167890;1716810856165000;68483.50000000;0.02800000;ask
1716810856268901;1716810856266000;68481.30000000;0.03500000;bid
1716810856369012;1716810856367000;68479.50000000;0.01700000;ask
1716810856470123;1716810856468000;68482.60000000;0.03800000;bid
1716810856571234;1716810856569000;68480.80000000;0.02200000;ask
1716810856672345;1716810856670000;68478.40000000;0.04600000;bid
1716810856773456;1716810856771000;68483.10000000;0.02600000;ask
1716810856874567;1716810856872000;68481.70000000;0.03300000;bid
1716810856975678;1716810856973000;68479.90000000;0.01800000;ask
1716810857076789;1716810857074000;68482.20000000;0.04100000;bid
1716810857177890;1716810857175000;68480.10000000;0.02400000;ask
1716810857278901;1716810857276000;68478.70000000;0.04400000;bid
1716810857379012;1716810857377000;68483.60000000;0.02900000;ask
1716810857480123;1716810857478000;68481.40000000;0.03600000;bid
1716810857581234;1716810857579000;68479.60000000;0.01600000;ask
1716810857682345;1716810857680000;68482.30000000;0.03700000;bid
1716810857783456;1716810857781000;68480.50000000;0.02100000;ask
1716810857884567;1716810857882000;68478.60000000;0.04500000;bid
1716810857985678;1716810857983000;68483.20000000;0.02700000;ask
1716810858086789;1716810858084000;68481.10000000;0.03400000;bid
1716810858187890;1716810858185000;68479.80000000;0.01900000;ask
